train/loss,l1,l2,epoch,step
9140.52734375,0.006902405992150307,-6.01509428024292,71,71
9136.7265625,0.006228095851838589,-6.016778469085693,72,72
9132.7578125,0.005511397961527109,-6.0185112953186035,73,73
9128.6015625,0.004750994965434074,-6.02028751373291,74,74
9124.23828125,0.003945646341890097,-6.022103309631348,75,75
9119.64453125,0.0030942216981202364,-6.023954391479492,76,76
9114.806640625,0.0021957228891551495,-6.025837421417236,77,77
9109.70703125,0.0012492944952100515,-6.027749538421631,78,78
9104.326171875,0.0002542263828217983,-6.029687881469727,79,79
9098.640625,-0.0007900469936430454,-6.031650066375732,80,80
9092.625,-0.001883942517451942,-6.033634662628174,81,81
9086.2578125,-0.0030277185142040253,-6.03563928604126,82,82
9079.515625,-0.0042214589193463326,-6.037662982940674,83,83
9072.3740234375,-0.005465053021907806,-6.0397047996521,84,84
9064.8046875,-0.006758181843906641,-6.0417633056640625,85,85
9056.779296875,-0.008100313134491444,-6.043837547302246,86,86
9048.2607421875,-0.009490706026554108,-6.045927047729492,87,87
9039.212890625,-0.01092843059450388,-6.048031330108643,88,88
9029.5947265625,-0.012412389740347862,-6.050149440765381,89,89
9019.3603515625,-0.013941347599029541,-6.052281379699707,90,90
9008.462890625,-0.015513953752815723,-6.054426193237305,91,91
8996.8515625,-0.01712876372039318,-6.056583881378174,92,92
8984.470703125,-0.018784264102578163,-6.0587544441223145,93,93
8971.2607421875,-0.020478900521993637,-6.06093692779541,94,94
8957.16015625,-0.0222111064940691,-6.063131809234619,95,95
8942.09765625,-0.023979343473911285,-6.065338611602783,96,96
8926.0,-0.025782136246562004,-6.067556858062744,97,97
8908.787109375,-0.027618106454610825,-6.069786548614502,98,98
8890.373046875,-0.029485996812582016,-6.072027206420898,99,99
8870.666015625,-0.0313846729695797,-6.074279308319092,100,100
8849.564453125,-0.03331312537193298,-6.076542377471924,101,101
8826.962890625,-0.03527045622467995,-6.078815937042236,102,102
8802.748046875,-0.03725587576627731,-6.0811004638671875,103,103
8776.7939453125,-0.039268676191568375,-6.083395481109619,104,104
8748.97265625,-0.04130822420120239,-6.085700988769531,105,105
8719.1416015625,-0.043373946100473404,-6.088016510009766,106,106
