train/loss,l1,l2,epoch,step,val/loss,val/error_u,val/loss_best
4662.07763671875,-0.0017495499923825264,-6.302902698516846,170,170,,,
4654.2705078125,0.0001416318118572235,-6.304627418518066,171,171,,,
4646.47216796875,0.002039071172475815,-6.306352138519287,172,172,,,
4638.68212890625,0.003942652605473995,-6.308077812194824,173,173,,,
4630.8935546875,0.005852314177900553,-6.309805393218994,174,174,,,
4623.1044921875,0.007768047042191029,-6.311535358428955,175,175,,,
4615.3134765625,0.009689882397651672,-6.313268661499023,176,176,,,
4607.521484375,0.011617865413427353,-6.315006256103516,177,177,,,
4599.728515625,0.013552021235227585,-6.316749095916748,178,178,,,
4591.93408203125,0.015492326579988003,-6.318497657775879,179,179,,,
4584.140625,0.017438694834709167,-6.320252418518066,180,180,,,
4576.3515625,0.019390974193811417,-6.322014331817627,181,181,,,
4568.56787109375,0.021348966285586357,-6.323783874511719,182,182,,,
4560.79248046875,0.023312438279390335,-6.325562000274658,183,183,,,
4553.02880859375,0.025281136855483055,-6.327348709106445,184,184,,,
4545.27783203125,0.027254801243543625,-6.3291449546813965,185,185,,,
4537.54248046875,0.029233168810606003,-6.33095121383667,186,186,,,
4529.82568359375,0.031215984374284744,-6.332768440246582,187,187,,,
4522.12890625,0.03320300579071045,-6.334597110748291,188,188,,,
4514.455078125,0.03519399091601372,-6.336438179016113,189,189,,,
4506.80712890625,0.03718869388103485,-6.338292121887207,190,190,,,
4499.1865234375,0.03918685391545296,-6.3401594161987305,191,191,,,
4491.59521484375,0.04118819907307625,-6.342040538787842,192,192,,,
4484.03564453125,0.04319244995713234,-6.343935966491699,193,193,,,
4476.509765625,0.04519933834671974,-6.345846176147461,194,194,,,
4469.01953125,0.04720861464738846,-6.347771167755127,195,195,,,
4461.56591796875,0.04922007396817207,-6.349711894989014,196,196,,,
4454.150390625,0.05123354494571686,-6.351668357849121,197,197,,,
4446.77294921875,0.05324890464544296,-6.353640556335449,198,198,,,
4439.43505859375,0.055266086012125015,-6.355628967285156,199,199,,,
4432.1357421875,0.05728505551815033,-6.3576340675354,200,200,,,
4424.87646484375,0.059305816888809204,-6.359655857086182,201,201,,,
4417.6552734375,0.061328381299972534,-6.3616943359375,202,202,,,
4410.4716796875,0.06335276365280151,-6.363749980926514,203,203,,,
4403.32421875,0.06537897884845734,-6.3658223152160645,204,204,,,
4396.2109375,0.06740702688694,-6.367911338806152,205,205,,,
4389.130859375,0.06943690776824951,-6.370016574859619,206,206,,,
4382.08056640625,0.07146861404180527,-6.372138023376465,207,207,,,
4375.056640625,0.07350213825702667,-6.374275207519531,208,208,,,
4368.05712890625,0.07553748041391373,-6.37642765045166,209,209,,,
4361.07666015625,0.07757463306188583,-6.378594875335693,210,210,,,
4354.1123046875,0.07961360365152359,-6.3807759284973145,211,211,,,
4347.15869140625,0.0816543772816658,-6.382970333099365,212,212,,,
4340.21142578125,0.08369694650173187,-6.3851776123046875,213,213,,,
4333.2646484375,0.08574127405881882,-6.387396335601807,214,214,,,
4326.31298828125,0.08778732270002365,-6.3896260261535645,215,215,,,
4319.35009765625,0.089835025370121,-6.3918657302856445,216,216,,,
4312.3701171875,0.0918843224644661,-6.3941144943237305,217,217,,,
4305.36767578125,0.09393513947725296,-6.396370887756348,218,218,,,
4298.3349609375,0.09598739445209503,-6.39863395690918,219,219,,,
4291.2666015625,0.09804101288318634,-6.400902271270752,220,220,,,
4284.1552734375,0.10009590536355972,-6.40317440032959,221,221,,,
4276.99658203125,0.10215198993682861,-6.405448913574219,222,222,,,
4269.783203125,0.10420916974544525,-6.407724857330322,223,223,,,
4262.5107421875,0.10626733303070068,-6.410000324249268,224,224,,,
4255.17431640625,0.10832634568214417,-6.412274360656738,225,225,,,
4247.77001953125,0.11038607358932495,-6.414545059204102,226,226,,,
4240.29541015625,0.1124463602900505,-6.416810512542725,227,227,,,
4232.7490234375,0.1145070493221283,-6.419069290161133,228,228,,,
4225.13134765625,0.11656798422336578,-6.421319961547852,229,229,,,
4217.4423828125,0.11862900108098984,-6.423561096191406,230,230,,,
4209.6845703125,0.12068994343280792,-6.425790786743164,231,231,,,
4201.8603515625,0.1227506697177887,-6.428008079528809,232,232,,,
4193.97265625,0.12481103092432022,-6.430211067199707,233,233,,,
4186.02294921875,0.12687090039253235,-6.432399272918701,234,234,,,
4178.01123046875,0.12893016636371613,-6.434571266174316,235,235,,,
